iter	Passed	Remaining
0	1	112
1	2	100
2	2	95
3	3	93
4	4	91
5	5	92
6	6	90
7	7	88
8	8	87
9	9	89
10	11	89
11	12	90
12	13	88
13	14	87
14	15	85
15	15	83
16	17	83
17	17	81
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	74
24	25	75
25	26	74
26	27	73
27	28	72
28	28	70
29	30	70
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
